Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
895,Entry short,2022-06-10 09:40,Short,14702,1,14702,3668.8,1.25,4526.9,1.54,-293.1,-0.10,103136,103.14
896,Exit short,2022-06-14 11:55,Close entry(s) order Short,14001.25,1,13916.5,-1701.2,-0.61,501.9,0.18,-2843.1,-1.02,101434.8,101.43
896,Entry short,2022-06-14 09:40,Short,13916.5,1,13916.5,-1701.2,-0.61,501.9,0.18,-2843.1,-1.02,101434.8,101.43
897,Exit long,2022-06-15 10:50,Close entry(s) order Long,14092.5,1,14159.25,-1341.2,-0.47,721.9,0.25,-1478.1,-0.52,100093.6,100.09
897,Entry long,2022-06-15 09:40,Long,14159.25,1,14159.25,-1341.2,-0.47,721.9,0.25,-1478.1,-0.52,100093.6,100.09
898,Exit short,2022-06-16 16:45,EOD Exit,13818.75,1,13901.5,1648.8,0.59,4226.9,1.52,-1363.1,-0.49,101742.4,101.74
898,Entry short,2022-06-16 09:40,Short,13901.5,1,13901.5,1648.8,0.59,4226.9,1.52,-1363.1,-0.49,101742.4,101.74
899,Exit long,2022-06-17 10:05,Close entry(s) order Long,13875.75,1,13933.5,-1161.2,-0.42,726.9,0.26,-1263.1,-0.45,100581.2,100.58
899,Entry long,2022-06-17 09:40,Long,13933.5,1,13933.5,-1161.2,-0.42,726.9,0.26,-1263.1,-0.45,100581.2,100.58
900,Exit long,2022-06-21 16:45,EOD Exit,14211.25,1,14207,78.8,0.03,1851.9,0.65,-568.1,-0.20,100660,100.66
900,Entry long,2022-06-21 09:40,Long,14207,1,14207,78.8,0.03,1851.9,0.65,-568.1,-0.20,100660,100.66
901,Exit long,2022-06-22 15:35,Close entry(s) order Long,14195.75,1,14143.25,1043.8,0.37,4476.9,1.58,-343.1,-0.12,101703.8,101.70
901,Entry long,2022-06-22 09:40,Long,14143.25,1,14143.25,1043.8,0.37,4476.9,1.58,-343.1,-0.12,101703.8,101.70
902,Exit long,2022-06-24 16:45,EOD Exit,14730,1,14581,2973.8,1.02,3776.9,1.30,-383.1,-0.13,104677.6,104.68
902,Entry long,2022-06-24 09:40,Long,14581,1,14581,2973.8,1.02,3776.9,1.30,-383.1,-0.13,104677.6,104.68
903,Exit short,2022-06-27 10:55,Close entry(s) order Short,14758.75,1,14681.5,-1551.2,-0.53,776.9,0.26,-1783.1,-0.61,103126.4,103.13
903,Entry short,2022-06-27 09:40,Short,14681.5,1,14681.5,-1551.2,-0.53,776.9,0.26,-1783.1,-0.61,103126.4,103.13
904,Exit long,2022-06-28 10:00,Close entry(s) order Long,14685.25,1,14776.75,-1836.2,-0.62,86.9,0.03,-1933.1,-0.65,101290.2,101.29
904,Entry long,2022-06-28 09:40,Long,14776.75,1,14776.75,-1836.2,-0.62,86.9,0.03,-1933.1,-0.65,101290.2,101.29
905,Exit short,2022-06-29 09:50,Close entry(s) order Short,14326.75,1,14205,-2441.2,-0.86,376.9,0.13,-2703.1,-0.95,98849,98.85
905,Entry short,2022-06-29 09:40,Short,14205,1,14205,-2441.2,-0.86,376.9,0.13,-2703.1,-0.95,98849,98.85
906,Exit short,2022-06-30 10:55,Close entry(s) order Short,14109.25,1,14061,-971.2,-0.35,1766.9,0.63,-1073.1,-0.38,97877.8,97.88
906,Entry short,2022-06-30 09:40,Short,14061,1,14061,-971.2,-0.35,1766.9,0.63,-1073.1,-0.38,97877.8,97.88
907,Exit long,2022-07-01 10:10,Close entry(s) order Long,14097.5,1,14098.25,-21.2,-0.01,2806.9,1.00,-143.1,-0.05,97856.6,97.86
907,Entry long,2022-07-01 09:40,Long,14098.25,1,14098.25,-21.2,-0.01,2806.9,1.00,-143.1,-0.05,97856.6,97.86
908,Exit short,2022-07-05 10:35,Close entry(s) order Short,14210.75,1,14026.75,-3686.2,-1.31,96.9,0.03,-3813.1,-1.36,94170.4,94.17
908,Entry short,2022-07-05 09:40,Short,14026.75,1,14026.75,-3686.2,-1.31,96.9,0.03,-3813.1,-1.36,94170.4,94.17
909,Exit long,2022-07-06 09:45,Close entry(s) order Long,14388,1,14442.5,-1096.2,-0.38,66.9,0.02,-1343.1,-0.46,93074.2,93.07
909,Entry long,2022-07-06 09:40,Long,14442.5,1,14442.5,-1096.2,-0.38,66.9,0.02,-1343.1,-0.46,93074.2,93.07
910,Exit long,2022-07-07 16:45,EOD Exit,14736.75,1,14644,1848.8,0.63,2916.9,1.00,-648.1,-0.22,94923,94.92
910,Entry long,2022-07-07 09:40,Long,14644,1,14644,1848.8,0.63,2916.9,1.00,-648.1,-0.22,94923,94.92
911,Exit short,2022-07-11 13:05,Close entry(s) order Short,14591,1,14528.25,-1261.2,-0.43,1071.9,0.37,-1333.1,-0.46,93661.8,93.66
