Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
24,Exit long,2009-12-07,Close entry(s) order Long,11519,1,11442,381,0.67,1578,2.76,-387,-0.68,114,0.11
24,Entry long,2009-11-08,Long,11442,1,11442,381,0.67,1578,2.76,-387,-0.68,114,0.11
25,Exit long,2010-01-20,Close entry(s) order Long,11647,1,11734,-439,-0.75,1313,2.24,-1117,-1.90,-325,-0.32
25,Entry long,2009-12-10,Long,11734,1,11734,-439,-0.75,1313,2.24,-1117,-1.90,-325,-0.32
26,Exit long,2010-03-15,Exit ATR,11995,1,11607,1936,3.34,1943,3.35,-627,-1.08,1611,1.61
26,Entry long,2010-02-16,Long,11607,1,11607,1936,3.34,1943,3.35,-627,-1.08,1611,1.61
27,Exit long,2010-04-11,Exit ATR,12371,1,11997,1866,3.11,1873,3.12,-47,-0.08,3477,3.48
27,Entry long,2010-03-15,Long,11997,1,11997,1866,3.11,1873,3.12,-47,-0.08,3477,3.48
28,Exit long,2010-04-26,Close entry(s) order Long,12326,1,12336,-54,-0.09,1208,1.96,-247,-0.40,3423,3.42
28,Entry long,2010-04-12,Long,12336,1,12336,-54,-0.09,1208,1.96,-247,-0.40,3423,3.42
29,Exit long,2010-06-23,Close entry(s) order Long,11530,1,11765,-1179,-2.00,1013,1.72,-1327,-2.26,2244,2.24
29,Entry long,2010-06-14,Long,11765,1,11765,-1179,-2.00,1013,1.72,-1327,-2.26,2244,2.24
30,Exit long,2010-07-20,Close entry(s) order Long,11489,1,11614,-629,-1.08,923,1.59,-1182,-2.04,1615,1.62
30,Entry long,2010-07-11,Long,11614,1,11614,-629,-1.08,923,1.59,-1182,-2.04,1615,1.62
31,Exit long,2010-08-10,Close entry(s) order Long,11768,1,11819,-259,-0.44,1488,2.52,-507,-0.86,1356,1.36
31,Entry long,2010-07-22,Long,11819,1,11819,-259,-0.44,1488,2.52,-507,-0.86,1356,1.36
32,Exit long,2010-09-20,Exit ATR,12244,1,11869,1871,3.15,1878,3.16,-702,-1.18,3227,3.23
32,Entry long,2010-09-02,Long,11869,1,11869,1871,3.15,1878,3.16,-702,-1.18,3227,3.23
33,Exit long,2010-10-12,Exit ATR,12562,1,12193,1841,3.02,1848,3.03,-612,-1.00,5068,5.07
33,Entry long,2010-09-20,Long,12193,1,12193,1841,3.02,1848,3.03,-612,-1.00,5068,5.07
34,Exit long,2010-11-04,Exit ATR,12907,1,12543,1816,2.90,1823,2.91,-922,-1.47,6884,6.88
34,Entry long,2010-10-12,Long,12543,1,12543,1816,2.90,1823,2.91,-922,-1.47,6884,6.88
35,Exit long,2010-12-22,Exit ATR,13082,1,12732,1746,2.74,1753,2.75,-117,-0.18,8630,8.63
35,Entry long,2010-11-30,Long,12732,1,12732,1746,2.74,1753,2.75,-117,-0.18,8630,8.63
36,Exit long,2011-01-23,Exit ATR,13422,1,13084,1686,2.58,1693,2.59,-352,-0.54,10316,10.32
36,Entry long,2010-12-22,Long,13084,1,13084,1686,2.58,1693,2.59,-352,-0.54,10316,10.32
37,Exit long,2011-02-13,Exit ATR,13823,1,13492,1651,2.45,1658,2.46,-1207,-1.79,11967,11.97
37,Entry long,2011-01-23,Long,13492,1,13492,1651,2.45,1658,2.46,-1207,-1.79,11967,11.97
38,Exit long,2011-02-20,Close entry(s) order Long,13743,1,13814,-359,-0.52,628,0.91,-482,-0.70,11608,11.61
38,Entry long,2011-02-15,Long,13814,1,13814,-359,-0.52,628,0.91,-482,-0.70,11608,11.61
39,Exit long,2011-04-11,Close entry(s) order Long,13815,1,13740,371,0.54,1443,2.10,-52,-0.08,11979,11.98
39,Entry long,2011-03-23,Long,13740,1,13740,371,0.54,1443,2.10,-52,-0.08,11979,11.98
40,Exit long,2011-04-27,Exit ATR,14346,1,14020,1626,2.32,1633,2.33,-42,-0.06,13605,13.61
40,Entry long,2011-04-19,Long,14020,1,14020,1626,2.32,1633,2.33,-42,-0.06,13605,13.61
41,Exit long,2011-05-12,Close entry(s) order Long,14178,1,14332,-774,-1.08,818,1.14,-1212,-1.69,12831,12.83
41,Entry long,2011-04-27,Long,14332,1,14332,-774,-1.08,818,1.14,-1212,-1.69,12831,12.83
42,Exit long,2011-06-30,Exit ATR,14104,1,13780,1616,2.35,1623,2.36,-1432,-2.08,14447,14.45
42,Entry long,2011-06-20,Long,13780,1,13780,1616,2.35,1623,2.36,-1432,-2.08,14447,14.45
43,Exit long,2011-07-17,Close entry(s) order Long,14018,1,14206,-944,-1.33,1033,1.45,-1382,-1.95,13503,13.50
43,Entry long,2011-06-30,Long,14206,1,14206,-944,-1.33,1033,1.45,-1382,-1.95,13503,13.50
44,Exit long,2011-07-26,Exit ATR,13974,1,14382,-2044,-2.84,288,0.40,-2042,-2.84,11459,11.46
44,Entry long,2011-07-20,Long,14382,1,14382,-2044,-2.84,288,0.40,-2042,-2.84,11459,11.46
45,Exit long,2011-09-04,Exit ATR,12749,1,13209,-2304,-3.49,933,1.41,-2302,-3.49,9155,9.16
45,Entry long,2011-08-28,Long,13209,1,13209,-2304,-3.49,933,1.41,-2302,-3.49,9155,9.16
46,Exit long,2011-10-23,Exit ATR,13527,1,13132,1971,3.00,1978,3.01,-752,-1.15,11126,11.13
46,Entry long,2011-10-09,Long,13132,1,13132,1971,3.00,1978,3.01,-752,-1.15,11126,11.13
47,Exit long,2011-10-26,Exit ATR,13984,1,13589,1971,2.90,1978,2.91,-1017,-1.50,13097,13.10
47,Entry long,2011-10-23,Long,13589,1,13589,1971,2.90,1978,2.91,-1017,-1.50,13097,13.10
48,Exit long,2011-10-31,Exit ATR,13434,1,13932,-2494,-3.58,123,0.18,-2492,-3.58,10603,10.60
48,Entry long,2011-10-26,Long,13932,1,13932,-2494,-3.58,123,0.18,-2492,-3.58,10603,10.60
49,Exit long,2011-12-12,Close entry(s) order Long,13725,1,13830,-529,-0.76,1128,1.63,-852,-1.23,10074,10.07
49,Entry long,2011-12-04,Long,13830,1,13830,-529,-0.76,1128,1.63,-852,-1.23,10074,10.07
50,Exit long,2012-01-19,Exit ATR,14452,1,14049,2011,2.86,2018,2.87,-752,-1.07,12085,12.09
50,Entry long,2011-12-22,Long,14049,1,14049,2011,2.86,2018,2.87,-752,-1.07,12085,12.09
51,Exit long,2012-03-05,Close entry(s) order Long,14574,1,14486,436,0.60,1933,2.67,-897,-1.24,12521,12.52
51,Entry long,2012-01-19,Long,14486,1,14486,436,0.60,1933,2.67,-897,-1.24,12521,12.52
52,Exit long,2012-04-04,Close entry(s) order Long,14877,1,15010,-669,-0.89,673,0.90,-907,-1.21,11852,11.85
52,Entry long,2012-03-12,Long,15010,1,15010,-669,-0.89,673,0.90,-907,-1.21,11852,11.85
53,Exit long,2012-05-07,Close entry(s) order Long,14766,1,14941,-879,-1.18,1213,1.62,-1432,-1.92,10973,10.97
