Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
258,Entry long,2016-03-22,A_LongDip,7224,1,7224,1587,1.10,2281,1.58,-624,-0.43,30366,60.73
259,Exit long,2016-04-10,Close entry(s) order A_LongDip,7279,1,7328.75,-1003,-0.68,771,0.53,-1099,-0.75,29363,58.73
259,Entry long,2016-04-03,A_LongDip,7328.75,1,7328.75,-1003,-0.68,771,0.53,-1099,-0.75,29363,58.73
260,Exit long,2016-04-27,Close entry(s) order A_LongDip,7209.5,1,7326.25,-2343,-1.60,66,0.05,-3044,-2.08,27020,54.04
260,Entry long,2016-04-20,A_LongDip,7326.25,1,7326.25,-2343,-1.60,66,0.05,-3044,-2.08,27020,54.04
261,Exit long,2016-06-09,Close entry(s) order A_LongDip,7293.25,1,7337.5,-893,-0.61,716,0.49,-1269,-0.86,26127,52.25
261,Entry long,2016-06-02,A_LongDip,7337.5,1,7337.5,-893,-0.61,716,0.49,-1269,-0.86,26127,52.25
262,Exit short,2016-07-05,EMA/Timeout,7275.5,1,7268.25,-153,-0.11,1336,0.92,-379,-0.26,25974,51.95
262,Entry short,2016-06-30,B_Short,7268.25,1,7268.25,-153,-0.11,1336,0.92,-379,-0.26,25974,51.95
263,Exit long,2016-08-08,Close entry(s) order A_LongDip,7626.75,1,7550.25,1522,1.01,1856,1.23,-339,-0.22,27496,54.99
263,Entry long,2016-08-01,A_LongDip,7550.25,1,7550.25,1522,1.01,1856,1.23,-339,-0.22,27496,54.99
264,Exit long,2016-08-22,Close entry(s) order A_LongDip,7652,1,7634.5,342,0.22,751,0.49,-544,-0.36,27838,55.68
264,Entry long,2016-08-15,A_LongDip,7634.5,1,7634.5,342,0.22,751,0.49,-544,-0.36,27838,55.68
265,Exit long,2016-08-30,Close entry(s) order A_LongDip,7608.75,1,7622.25,-278,-0.18,611,0.40,-709,-0.47,27560,55.12
265,Entry long,2016-08-23,A_LongDip,7622.25,1,7622.25,-278,-0.18,611,0.40,-709,-0.47,27560,55.12
266,Exit long,2016-09-08,Close entry(s) order A_LongDip,7506,1,7632,-2528,-1.66,26,0.02,-2634,-1.73,25032,50.06
266,Entry long,2016-09-07,A_LongDip,7632,1,7632,-2528,-1.66,26,0.02,-2634,-1.73,25032,50.06
267,Exit long,2016-09-19,Close entry(s) order A_LongDip,7636.5,1,7563,1462,0.97,2341,1.55,-169,-0.11,26494,52.99
267,Entry long,2016-09-12,A_LongDip,7563,1,7563,1462,0.97,2341,1.55,-169,-0.11,26494,52.99
268,Exit long,2016-09-29,Close entry(s) order A_LongDip,7708.25,1,7695.5,247,0.16,566,0.37,-1129,-0.73,26741,53.48
268,Entry long,2016-09-22,A_LongDip,7695.5,1,7695.5,247,0.16,566,0.37,-1129,-0.73,26741,53.48
269,Exit long,2016-10-17,Close entry(s) order A_LongDip,7665,1,7666,-28,-0.02,581,0.38,-1464,-0.95,26713,53.43
269,Entry long,2016-10-10,A_LongDip,7666,1,7666,-28,-0.02,581,0.38,-1464,-0.95,26713,53.43
270,Exit long,2016-11-01,Close entry(s) order A_LongDip,7554.75,1,7692.75,-2768,-1.80,516,0.34,-2924,-1.90,23945,47.89
270,Entry long,2016-10-25,A_LongDip,7692.75,1,7692.75,-2768,-1.80,516,0.34,-2924,-1.90,23945,47.89
271,Exit long,2016-11-30,Close entry(s) order A_LongDip,7574.5,1,7688.5,-2288,-1.49,951,0.62,-2549,-1.66,21657,43.31
271,Entry long,2016-11-22,A_LongDip,7688.5,1,7688.5,-2288,-1.49,951,0.62,-2549,-1.66,21657,43.31
272,Exit long,2016-12-18,Close entry(s) order A_LongDip,7778.25,1,7706.75,1422,0.92,1986,1.29,-149,-0.10,23079,46.16
272,Entry long,2016-12-11,A_LongDip,7706.75,1,7706.75,1422,0.92,1986,1.29,-149,-0.10,23079,46.16
273,Exit long,2017-01-04,Close entry(s) order A_LongDip,7801.5,1,7764.25,737,0.47,796,0.51,-1489,-0.96,23816,47.63
273,Entry long,2016-12-27,A_LongDip,7764.25,1,7764.25,737,0.47,796,0.51,-1489,-0.96,23816,47.63
274,Exit long,2017-02-05,Close entry(s) order A_LongDip,7997.25,1,7965,637,0.40,766,0.48,-839,-0.53,24453,48.91
274,Entry long,2017-01-29,A_LongDip,7965,1,7965,637,0.40,766,0.48,-839,-0.53,24453,48.91
275,Exit long,2017-03-27,Close entry(s) order A_LongDip,8240.75,1,8175,1307,0.80,1716,1.05,-479,-0.29,25760,51.52
275,Entry long,2017-03-20,A_LongDip,8175,1,8175,1307,0.80,1716,1.05,-479,-0.29,25760,51.52
276,Exit short,2017-04-03,EMA/Timeout,8280.75,1,8274.25,-138,-0.08,691,0.42,-344,-0.21,25622,51.24
276,Entry short,2017-03-30,B_Short,8274.25,1,8274.25,-138,-0.08,691,0.42,-344,-0.21,25622,51.24
277,Exit long,2017-04-11,Close entry(s) order A_LongDip,8208.5,1,8253,-898,-0.54,536,0.32,-1179,-0.71,24724,49.45
277,Entry long,2017-04-04,A_LongDip,8253,1,8253,-898,-0.54,536,0.32,-1179,-0.71,24724,49.45
278,Exit long,2017-05-09,Close entry(s) order A_LongDip,8511.25,1,8450,1217,0.72,1476,0.87,-204,-0.12,25941,51.88
278,Entry long,2017-05-02,A_LongDip,8450,1,8450,1217,0.72,1476,0.87,-204,-0.12,25941,51.88
279,Exit long,2017-05-23,Close entry(s) order A_LongDip,8567,1,8415.5,3022,1.80,3101,1.84,-579,-0.34,28963,57.93
279,Entry long,2017-05-16,A_LongDip,8415.5,1,8415.5,3022,1.80,3101,1.84,-579,-0.34,28963,57.93
