Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
368,Exit short,2019-05-10 13:15,X_S,3448,1,3439.75,-416.5,-0.24,1410.5,0.82,-414.5,-0.24,5590.5,11.18
368,Entry short,2019-05-10 10:00,FL_S,3439.75,1,3439.75,-416.5,-0.24,1410.5,0.82,-414.5,-0.24,5590.5,11.18
369,Exit long,2019-05-16 15:45,EOD Flatten,3460.75,1,3461.5,-41.5,-0.02,898,0.52,-164.5,-0.10,5549,11.10
369,Entry long,2019-05-16 09:50,FL_L,3461.5,1,3461.5,-41.5,-0.02,898,0.52,-164.5,-0.10,5549,11.10
370,Exit short,2019-05-22 13:40,X_S,3442.25,1,3438,-216.5,-0.13,23,0.01,-214.5,-0.12,5332.5,10.67
370,Entry short,2019-05-22 13:05,FL_S,3438,1,3438,-216.5,-0.13,23,0.01,-214.5,-0.12,5332.5,10.67
371,Exit short,2019-05-23 15:25,X_S,3405.5,1,3400.25,-266.5,-0.16,448,0.26,-264.5,-0.16,5066,10.13
371,Entry short,2019-05-23 11:50,FL_S,3400.25,1,3400.25,-266.5,-0.16,448,0.26,-264.5,-0.16,5066,10.13
372,Exit long,2019-05-30 10:05,X_L,3379.5,1,3383.5,-204,-0.12,0,0.00,-239.5,-0.14,4862,9.72
372,Entry long,2019-05-30 10:00,FL_L,3383.5,1,3383.5,-204,-0.12,0,0.00,-239.5,-0.14,4862,9.72
373,Exit long,2019-06-05 15:35,X_L,3402.25,1,3407.25,-254,-0.15,185.5,0.11,-252,-0.15,4608,9.22
373,Entry long,2019-06-05 13:00,FL_L,3407.25,1,3407.25,-254,-0.15,185.5,0.11,-252,-0.15,4608,9.22
374,Exit long,2019-06-07 15:45,EOD Flatten,3461,1,3454,346,0.20,885.5,0.51,-52,-0.03,4954,9.91
374,Entry long,2019-06-07 09:55,FL_L,3454,1,3454,346,0.20,885.5,0.51,-52,-0.03,4954,9.91
375,Exit long,2019-06-18 11:20,X_L,3510.25,1,3513.75,-179,-0.10,198,0.11,-177,-0.10,4775,9.55
375,Entry long,2019-06-18 10:45,FL_L,3513.75,1,3513.75,-179,-0.10,198,0.11,-177,-0.10,4775,9.55
376,Exit long,2019-06-27 10:00,X_L,3509.5,1,3513,-179,-0.10,48,0.03,-177,-0.10,4596,9.19
