Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
20,Exit long,1999-05-23,Close entry(s) order LongDip,1996.5,1,2024.5,-1404,-1.39,548,0.54,-1477,-1.46,2782.5,27.83
20,Entry long,1999-05-13,LongDip,2024.5,1,2024.5,-1404,-1.39,548,0.54,-1477,-1.46,2782.5,27.83
21,Exit long,1999-06-02,Close entry(s) order LongDip,1989.5,1,1970.5,946,0.96,1260.5,1.28,-377,-0.38,3728.5,37.29
21,Entry long,1999-05-24,LongDip,1970.5,1,1970.5,946,0.96,1260.5,1.28,-377,-0.38,3728.5,37.29
22,Exit long,1999-06-15,Close entry(s) order LongDip,2013.75,1,2005.5,408.5,0.41,635.5,0.63,-1614.5,-1.61,4137,41.37
22,Entry long,1999-06-07,LongDip,2005.5,1,2005.5,408.5,0.41,635.5,0.63,-1614.5,-1.61,4137,41.37
23,Exit long,1999-06-29,Close entry(s) order LongDip,2052.25,1,2021,1558.5,1.54,1823,1.80,-1552,-1.54,5695.5,56.96
23,Entry long,1999-06-21,LongDip,2021,1,2021,1558.5,1.54,1823,1.80,-1552,-1.54,5695.5,56.96
24,Exit long,1999-07-14,Close entry(s) order LongDip,2090.5,1,2071,971,0.94,1073,1.04,-214.5,-0.21,6666.5,66.66
24,Entry long,1999-07-06,LongDip,2071,1,2071,971,0.94,1073,1.04,-214.5,-0.21,6666.5,66.66
25,Exit long,1999-07-20,Close entry(s) order LongDip,2054.25,1,2085.25,-1554,-1.49,210.5,0.20,-1702,-1.63,5112.5,51.13
25,Entry long,1999-07-18,LongDip,2085.25,1,2085.25,-1554,-1.49,210.5,0.20,-1702,-1.63,5112.5,51.13
26,Exit long,1999-07-29,Close entry(s) order LongDip,2010.25,1,2039,-1441.5,-1.41,523,0.51,-1614.5,-1.58,3671,36.71
26,Entry long,1999-07-21,LongDip,2039,1,2039,-1441.5,-1.41,523,0.51,-1614.5,-1.58,3671,36.71
27,Exit long,1999-08-09,Close entry(s) order LongDip,1950.75,1,1997.5,-2341.5,-2.34,535.5,0.54,-2777,-2.78,1329.5,13.30
27,Entry long,1999-08-02,LongDip,1997.5,1,1997.5,-2341.5,-2.34,535.5,0.54,-2777,-2.78,1329.5,13.30
28,Exit long,1999-08-29,Close entry(s) order LongDip,1997,1,2039,-2104,-2.06,185.5,0.18,-2202,-2.16,-774.5,-7.74
28,Entry long,1999-08-25,LongDip,2039,1,2039,-2104,-2.06,185.5,0.18,-2202,-2.16,-774.5,-7.74
29,Exit long,1999-09-12,Close entry(s) order LongDip,2017.25,1,1991.25,1296,1.30,2260.5,2.27,-14.5,-0.01,521.5,5.22
29,Entry long,1999-09-01,LongDip,1991.25,1,1991.25,1296,1.30,2260.5,2.27,-14.5,-0.01,521.5,5.22
30,Exit long,1999-09-21,Close entry(s) order LongDip,1976.5,1,2008.75,-1616.5,-1.61,748,0.74,-2152,-2.14,-1095,-10.95
30,Entry long,1999-09-13,LongDip,2008.75,1,2008.75,-1616.5,-1.61,748,0.74,-2152,-2.14,-1095,-10.95
31,Exit long,1999-11-08,Close entry(s) order LongDip,2026.5,1,2018,421,0.42,1660.5,1.65,-527,-0.52,-674,-6.74
31,Entry long,1999-10-31,LongDip,2018,1,2018,421,0.42,1660.5,1.65,-527,-0.52,-674,-6.74
32,Exit long,1999-11-25,Close entry(s) order LongDip,2070,1,2073.5,-179,-0.17,685.5,0.66,-777,-0.75,-853,-8.53
32,Entry long,1999-11-16,LongDip,2073.5,1,2073.5,-179,-0.17,685.5,0.66,-777,-0.75,-853,-8.53
33,Exit long,1999-12-07,Close entry(s) order LongDip,2060.25,1,2047.5,633.5,0.62,3010.5,2.94,-289.5,-0.28,-219.5,-2.20
33,Entry long,1999-11-29,LongDip,2047.5,1,2047.5,633.5,0.62,3010.5,2.94,-289.5,-0.28,-219.5,-2.20
34,Exit long,1999-12-21,Close entry(s) order LongDip,2094,1,2061,1646,1.60,1660.5,1.61,-489.5,-0.48,1426.5,14.27
34,Entry long,1999-12-13,LongDip,2061,1,2061,1646,1.60,1660.5,1.61,-489.5,-0.48,1426.5,14.27
35,Exit long,2000-01-03,Close entry(s) order LongDip,2047.25,1,2103,-2791.5,-2.65,85.5,0.08,-2877,-2.74,-1365,-13.65
35,Entry long,2000-01-02,LongDip,2103,1,2103,-2791.5,-2.65,85.5,0.08,-2877,-2.74,-1365,-13.65
36,Exit long,2000-01-13,Close entry(s) order LongDip,2114.25,1,2041,3658.5,3.58,3998,3.92,-377,-0.37,2293.5,22.94
36,Entry long,2000-01-05,LongDip,2041,1,2041,3658.5,3.58,3998,3.92,-377,-0.37,2293.5,22.94
37,Exit long,2000-01-23,Close entry(s) order LongDip,2048.5,1,2105.5,-2854,-2.71,773,0.73,-3314.5,-3.15,-560.5,-5.60
37,Entry long,2000-01-17,LongDip,2105.5,1,2105.5,-2854,-2.71,773,0.73,-3314.5,-3.15,-560.5,-5.60
38,Exit long,2000-02-16,Close entry(s) order LongDip,2021.25,1,2054.75,-1679,-1.63,523,0.51,-1889.5,-1.84,-2239.5,-22.39
38,Entry long,2000-02-08,LongDip,2054.75,1,2054.75,-1679,-1.63,523,0.51,-1889.5,-1.84,-2239.5,-22.39
39,Exit long,2000-03-13,Close entry(s) order LongDip,1998.25,1,2031.25,-1654,-1.63,1023,1.01,-2339.5,-2.30,-3893.5,-38.93
39,Entry long,2000-03-05,LongDip,2031.25,1,2031.25,-1654,-1.63,1023,1.01,-2339.5,-2.30,-3893.5,-38.93
40,Exit long,2000-03-27,Close entry(s) order LongDip,2147,1,2096.25,2533.5,2.42,4798,4.58,-752,-0.72,-1360,-13.60
40,Entry long,2000-03-19,LongDip,2096.25,1,2096.25,2533.5,2.42,4798,4.58,-752,-0.72,-1360,-13.60
41,Exit long,2000-04-06,Close entry(s) order LongDip,2147.25,1,2122.75,1221,1.15,1998,1.88,-3689.5,-3.48,-139,-1.39
41,Entry long,2000-03-29,LongDip,2122.75,1,2122.75,1221,1.15,1998,1.88,-3689.5,-3.48,-139,-1.39
42,Exit long,2000-04-13,Close entry(s) order LongDip,1985.25,1,2094.25,-5454,-5.21,810.5,0.77,-6464.5,-6.17,-5593,-55.93
42,Entry long,2000-04-11,LongDip,2094.25,1,2094.25,-5454,-5.21,810.5,0.77,-6464.5,-6.17,-5593,-55.93
43,Exit long,2000-05-22,Close entry(s) order LongDip,2000.25,1,2075,-3741.5,-3.61,435.5,0.42,-4227,-4.07,-9334.5,-93.34
43,Entry long,2000-05-16,LongDip,2075,1,2075,-3741.5,-3.61,435.5,0.42,-4227,-4.07,-9334.5,-93.34
44,Exit long,2000-06-19,Close entry(s) order LongDip,2094.25,1,2065,1458.5,1.41,2248,2.18,-177,-0.17,-7876,-78.76
44,Entry long,2000-06-11,LongDip,2065,1,2065,1458.5,1.41,2248,2.18,-177,-0.17,-7876,-78.76
45,Exit long,2000-06-29,Close entry(s) order LongDip,2063.5,1,2072.25,-441.5,-0.43,573,0.55,-1277,-1.23,-8317.5,-83.17
