Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
205,Entry short,2019-10-30 10:30,Short,30140,1,30140,-460,-0.31,570,0.38,-480,-0.32,41675,4.17
206,Exit long,2019-11-04 15:30,EOD Exit,30605,1,30340,1315,0.87,2070,1.36,-155,-0.10,42990,4.30
206,Entry long,2019-11-04 10:30,Long,30340,1,30340,1315,0.87,2070,1.36,-155,-0.10,42990,4.30
207,Exit short,2019-11-07 15:30,EOD Exit,30210,1,30200,-60,-0.04,120,0.08,-205,-0.14,42930,4.29
207,Entry short,2019-11-07 10:30,Short,30200,1,30200,-60,-0.04,120,0.08,-205,-0.14,42930,4.29
208,Exit short,2019-11-08 15:30,EOD Exit,29810,1,29730,-410,-0.28,220,0.15,-555,-0.37,42520,4.25
208,Entry short,2019-11-08 10:30,Short,29730,1,29730,-410,-0.28,220,0.15,-555,-0.37,42520,4.25
209,Exit short,2019-11-11 15:30,EOD Exit,29735,1,29690,-235,-0.16,70,0.05,-480,-0.32,42285,4.23
209,Entry short,2019-11-11 10:30,Short,29690,1,29690,-235,-0.16,70,0.05,-480,-0.32,42285,4.23
210,Exit short,2019-11-12 12:30,Close entry(s) order Short,29730,1,29675,-285,-0.19,220,0.15,-280,-0.19,42000,4.20
210,Entry short,2019-11-12 10:30,Short,29675,1,29675,-285,-0.19,220,0.15,-280,-0.19,42000,4.20
211,Exit short,2019-11-14 15:30,EOD Exit,29635,1,29595,-210,-0.14,0,0.00,-280,-0.19,41790,4.18
211,Entry short,2019-11-14 10:30,Short,29595,1,29595,-210,-0.14,0,0.00,-280,-0.19,41790,4.18
212,Exit short,2019-11-15 15:30,EOD Exit,29475,1,29440,-185,-0.13,245,0.17,-255,-0.17,41605,4.16
212,Entry short,2019-11-15 10:30,Short,29440,1,29440,-185,-0.13,245,0.17,-255,-0.17,41605,4.16
213,Exit short,2019-11-18 15:30,EOD Exit,29150,1,29395,1215,0.83,2120,1.44,-105,-0.07,42820,4.28
213,Entry short,2019-11-18 10:30,Short,29395,1,29395,1215,0.83,2120,1.44,-105,-0.07,42820,4.28
214,Exit short,2019-11-20 10:50,Close entry(s) order Short,29095,1,29080,-85,-0.06,0,0.00,-105,-0.07,42735,4.27
214,Entry short,2019-11-20 10:30,Short,29080,1,29080,-85,-0.06,0,0.00,-105,-0.07,42735,4.27
215,Exit short,2019-11-21 15:30,EOD Exit,28585,1,28580,-35,-0.02,395,0.28,-155,-0.11,42700,4.27
215,Entry short,2019-11-21 10:30,Short,28580,1,28580,-35,-0.02,395,0.28,-155,-0.11,42700,4.27
216,Exit short,2019-11-22 13:55,Close entry(s) order Short,28205,1,28050,-785,-0.56,45,0.03,-830,-0.59,41915,4.19
216,Entry short,2019-11-22 10:30,Short,28050,1,28050,-785,-0.56,45,0.03,-830,-0.59,41915,4.19
217,Exit long,2019-12-01 18:30,Close entry(s) order Long,28415,1,28770,-1785,-1.24,495,0.34,-2080,-1.45,40130,4.01
217,Entry long,2019-11-29 10:30,Long,28770,1,28770,-1785,-1.24,495,0.34,-2080,-1.45,40130,4.01
218,Exit short,2019-12-02 15:30,EOD Exit,28275,1,28290,65,0.05,295,0.21,-155,-0.11,40195,4.02
218,Entry short,2019-12-02 10:30,Short,28290,1,28290,65,0.05,295,0.21,-155,-0.11,40195,4.02
219,Exit short,2019-12-10 15:30,EOD Exit,28145,1,28230,415,0.29,620,0.44,-80,-0.06,40610,4.06
219,Entry short,2019-12-10 10:30,Short,28230,1,28230,415,0.29,620,0.44,-80,-0.06,40610,4.06
220,Exit short,2019-12-11 15:30,EOD Exit,28135,1,28130,-35,-0.02,295,0.21,-155,-0.11,40575,4.06
220,Entry short,2019-12-11 10:30,Short,28130,1,28130,-35,-0.02,295,0.21,-155,-0.11,40575,4.06
221,Exit short,2019-12-17 15:30,EOD Exit,27550,1,27675,615,0.44,820,0.59,-30,-0.02,41190,4.12
221,Entry short,2019-12-17 10:30,Short,27675,1,27675,615,0.44,820,0.59,-30,-0.02,41190,4.12
222,Exit long,2019-12-18 15:30,EOD Exit,28150,1,27760,1940,1.40,2070,1.49,-155,-0.11,43130,4.31
222,Entry long,2019-12-18 10:30,Long,27760,1,27760,1940,1.40,2070,1.49,-155,-0.11,43130,4.31
223,Exit short,2019-12-25 20:05,Close entry(s) order Short,28145,1,28215,340,0.24,495,0.35,-180,-0.13,43470,4.35
223,Entry short,2019-12-24 10:30,Short,28215,1,28215,340,0.24,495,0.35,-180,-0.13,43470,4.35
224,Exit short,2019-12-30 18:05,Close entry(s) order Short,28205,1,28215,40,0.03,345,0.24,-55,-0.04,43510,4.35
224,Entry short,2019-12-30 10:30,Short,28215,1,28215,40,0.03,345,0.24,-55,-0.04,43510,4.35
225,Exit short,2020-01-01 18:25,Close entry(s) order Short,28125,1,28140,65,0.05,395,0.28,-55,-0.04,43575,4.36
225,Entry short,2019-12-31 10:30,Short,28140,1,28140,65,0.05,395,0.28,-55,-0.04,43575,4.36
226,Exit short,2020-01-07 11:25,Close entry(s) order Short,28885,1,28785,-510,-0.35,395,0.27,-505,-0.35,43065,4.31
226,Entry short,2020-01-07 10:30,Short,28785,1,28785,-510,-0.35,395,0.27,-505,-0.35,43065,4.31
227,Exit short,2020-01-08 10:45,Close entry(s) order Short,29325,1,29230,-485,-0.33,0,0.00,-555,-0.38,42580,4.26
227,Entry short,2020-01-08 10:30,Short,29230,1,29230,-485,-0.33,0,0.00,-555,-0.38,42580,4.26
228,Exit short,2020-01-09 14:45,Close entry(s) order Short,28860,1,28850,-60,-0.04,645,0.45,-105,-0.07,42520,4.25
228,Entry short,2020-01-09 10:30,Short,28850,1,28850,-60,-0.04,645,0.45,-105,-0.07,42520,4.25
229,Exit long,2020-01-10 15:30,EOD Exit,29035,1,29015,90,0.06,520,0.36,-630,-0.43,42610,4.26
229,Entry long,2020-01-10 10:30,Long,29015,1,29015,90,0.06,520,0.36,-630,-0.43,42610,4.26
230,Exit short,2020-01-13 15:30,EOD Exit,29060,1,29030,-160,-0.11,70,0.05,-180,-0.12,42450,4.25
230,Entry short,2020-01-13 10:30,Short,29030,1,29030,-160,-0.11,70,0.05,-180,-0.12,42450,4.25
231,Exit long,2020-01-14 15:30,EOD Exit,29675,1,29720,-235,-0.16,670,0.45,-1155,-0.78,42215,4.22
231,Entry long,2020-01-14 10:30,Long,29720,1,29720,-235,-0.16,670,0.45,-1155,-0.78,42215,4.22
232,Exit short,2020-01-22 11:50,Close entry(s) order Short,29610,1,29570,-210,-0.14,345,0.23,-255,-0.17,42005,4.20
232,Entry short,2020-01-22 10:30,Short,29570,1,29570,-210,-0.14,345,0.23,-255,-0.17,42005,4.20
233,Exit short,2020-01-23 15:30,EOD Exit,29270,1,29265,-35,-0.02,370,0.25,-55,-0.04,41970,4.20
233,Entry short,2020-01-23 10:30,Short,29265,1,29265,-35,-0.02,370,0.25,-55,-0.04,41970,4.20
234,Exit short,2020-01-28 15:10,Close entry(s) order Short,29970,1,29900,-360,-0.24,470,0.31,-355,-0.24,41610,4.16
234,Entry short,2020-01-28 10:30,Short,29900,1,29900,-360,-0.24,470,0.31,-355,-0.24,41610,4.16
235,Exit short,2020-01-31 15:30,EOD Exit,30220,1,30205,-85,-0.06,245,0.16,-305,-0.20,41525,4.15
235,Entry short,2020-01-31 10:30,Short,30205,1,30205,-85,-0.06,245,0.16,-305,-0.20,41525,4.15
236,Exit short,2020-02-03 15:30,EOD Exit,30210,1,30160,-260,-0.17,520,0.34,-730,-0.48,41265,4.13
236,Entry short,2020-02-03 10:30,Short,30160,1,30160,-260,-0.17,520,0.34,-730,-0.48,41265,4.13
237,Exit short,2020-02-04 11:15,Close entry(s) order Short,30060,1,30020,-210,-0.14,0,0.00,-255,-0.17,41055,4.11
237,Entry short,2020-02-04 10:30,Short,30020,1,30020,-210,-0.14,0,0.00,-255,-0.17,41055,4.11
238,Exit short,2020-02-10 15:30,EOD Exit,30715,1,30790,365,0.24,670,0.44,-80,-0.05,41420,4.14
238,Entry short,2020-02-10 10:30,Short,30790,1,30790,365,0.24,670,0.44,-80,-0.05,41420,4.14
239,Exit short,2020-02-13 10:45,Close entry(s) order Short,31210,1,31145,-335,-0.22,20,0.01,-330,-0.21,41085,4.11
239,Entry short,2020-02-13 10:30,Short,31145,1,31145,-335,-0.22,20,0.01,-330,-0.21,41085,4.11
240,Exit short,2020-02-17 11:45,Close entry(s) order Short,30560,1,30390,-860,-0.57,0,0.00,-855,-0.56,40225,4.02
240,Entry short,2020-02-17 10:30,Short,30390,1,30390,-860,-0.57,0,0.00,-855,-0.56,40225,4.02
241,Exit short,2020-02-24 15:30,EOD Exit,30420,1,30530,540,0.35,1320,0.86,-80,-0.05,40765,4.08
241,Entry short,2020-02-24 10:30,Short,30530,1,30530,540,0.35,1320,0.86,-80,-0.05,40765,4.08
242,Exit short,2020-02-25 15:30,EOD Exit,30105,1,30195,440,0.29,670,0.44,-230,-0.15,41205,4.12
242,Entry short,2020-02-25 10:30,Short,30195,1,30195,440,0.29,670,0.44,-230,-0.15,41205,4.12
243,Exit short,2020-02-26 19:25,Close entry(s) order Short,29480,1,29770,1440,0.97,1970,1.32,-255,-0.17,42645,4.26
243,Entry short,2020-02-26 10:30,Short,29770,1,29770,1440,0.97,1970,1.32,-255,-0.17,42645,4.26
244,Exit long,2020-03-02 15:30,EOD Exit,29620,1,29545,365,0.25,670,0.45,-105,-0.07,43010,4.30
244,Entry long,2020-03-02 10:30,Long,29545,1,29545,365,0.25,670,0.45,-105,-0.07,43010,4.30
245,Exit short,2020-03-03 15:30,EOD Exit,29435,1,29485,240,0.16,370,0.25,-305,-0.21,43250,4.32
245,Entry short,2020-03-03 10:30,Short,29485,1,29485,240,0.16,370,0.25,-305,-0.21,43250,4.32
246,Exit short,2020-03-04 15:30,EOD Exit,29445,1,29455,40,0.03,320,0.22,-80,-0.05,43290,4.33
246,Entry short,2020-03-04 10:30,Short,29455,1,29455,40,0.03,320,0.22,-80,-0.05,43290,4.33
247,Exit short,2020-03-09 15:30,EOD Exit,28515,1,28435,-410,-0.29,620,0.44,-505,-0.36,42880,4.29
247,Entry short,2020-03-09 10:30,Short,28435,1,28435,-410,-0.29,620,0.44,-505,-0.36,42880,4.29
248,Exit short,2020-03-11 15:30,EOD Exit,28490,1,28520,140,0.10,1195,0.84,-30,-0.02,43020,4.30
248,Entry short,2020-03-11 10:30,Short,28520,1,28520,140,0.10,1195,0.84,-30,-0.02,43020,4.30
249,Exit short,2020-03-12 15:30,EOD Exit,26745,1,26750,15,0.01,745,0.56,-780,-0.58,43035,4.30
249,Entry short,2020-03-12 10:30,Short,26750,1,26750,15,0.01,745,0.56,-780,-0.58,43035,4.30
250,Exit long,2020-03-19 15:30,EOD Exit,26865,1,26525,1690,1.27,2770,2.09,-280,-0.21,44725,4.47
250,Entry long,2020-03-19 10:30,Long,26525,1,26525,1690,1.27,2770,2.09,-280,-0.21,44725,4.47
251,Exit short,2020-03-27 15:30,EOD Exit,27365,1,27285,-410,-0.30,45,0.03,-430,-0.32,44315,4.43
251,Entry short,2020-03-27 10:30,Short,27285,1,27285,-410,-0.30,45,0.03,-430,-0.32,44315,4.43
252,Exit short,2020-04-01 15:30,EOD Exit,26850,1,26920,340,0.25,570,0.42,-30,-0.02,44655,4.47
252,Entry short,2020-04-01 10:30,Short,26920,1,26920,340,0.25,570,0.42,-30,-0.02,44655,4.47
253,Exit short,2020-04-05 18:00,Close entry(s) order Short,27490,1,27485,-35,-0.03,1045,0.76,-205,-0.15,44620,4.46
253,Entry short,2020-04-03 10:30,Short,27485,1,27485,-35,-0.03,1045,0.76,-205,-0.15,44620,4.46
254,Exit short,2020-04-15 15:30,EOD Exit,27405,1,27410,15,0.01,320,0.23,-155,-0.11,44635,4.46
254,Entry short,2020-04-15 10:30,Short,27410,1,27410,15,0.01,320,0.23,-155,-0.11,44635,4.46
255,Exit short,2020-04-17 15:30,EOD Exit,27720,1,27700,-110,-0.08,45,0.03,-180,-0.13,44525,4.45
255,Entry short,2020-04-17 10:30,Short,27700,1,27700,-110,-0.08,45,0.03,-180,-0.13,44525,4.45
256,Exit short,2020-04-20 11:05,Close entry(s) order Short,27755,1,27700,-285,-0.21,0,0.00,-280,-0.20,44240,4.42
256,Entry short,2020-04-20 10:30,Short,27700,1,27700,-285,-0.21,0,0.00,-280,-0.20,44240,4.42
257,Exit long,2020-04-22 15:30,EOD Exit,27800,1,27795,15,0.01,320,0.23,-105,-0.08,44255,4.43
257,Entry long,2020-04-22 10:30,Long,27795,1,27795,15,0.01,320,0.23,-105,-0.08,44255,4.43
258,Exit long,2020-04-23 15:30,EOD Exit,28275,1,28290,-85,-0.06,295,0.21,-355,-0.25,44170,4.42
258,Entry long,2020-04-23 10:30,Long,28290,1,28290,-85,-0.06,295,0.21,-355,-0.25,44170,4.42
259,Exit short,2020-04-24 14:05,Close entry(s) order Short,28245,1,28160,-435,-0.31,0,0.00,-430,-0.31,43735,4.37
259,Entry short,2020-04-24 10:30,Short,28160,1,28160,-435,-0.31,0,0.00,-430,-0.31,43735,4.37
260,Exit short,2020-04-27 14:50,Close entry(s) order Short,28430,1,28365,-335,-0.24,245,0.17,-330,-0.23,43400,4.34
260,Entry short,2020-04-27 10:30,Short,28365,1,28365,-335,-0.24,245,0.17,-330,-0.23,43400,4.34
261,Exit short,2020-04-28 15:30,EOD Exit,28435,1,28450,65,0.05,370,0.26,-30,-0.02,43465,4.35
261,Entry short,2020-04-28 10:30,Short,28450,1,28450,65,0.05,370,0.26,-30,-0.02,43465,4.35
262,Exit long,2020-04-29 15:30,EOD Exit,29440,1,29055,1915,1.32,3245,2.23,-80,-0.06,45380,4.54
262,Entry long,2020-04-29 10:30,Long,29055,1,29055,1915,1.32,3245,2.23,-80,-0.06,45380,4.54
263,Exit short,2020-04-30 15:30,EOD Exit,29525,1,29560,165,0.11,2195,1.49,-80,-0.05,45545,4.55
263,Entry short,2020-04-30 10:30,Short,29560,1,29560,165,0.11,2195,1.49,-80,-0.05,45545,4.55
264,Exit long,2020-05-04 15:30,EOD Exit,29615,1,29545,340,0.23,445,0.30,-305,-0.21,45885,4.59
264,Entry long,2020-05-04 10:30,Long,29545,1,29545,340,0.23,445,0.30,-305,-0.21,45885,4.59
265,Exit short,2020-05-05 15:30,EOD Exit,29615,1,29530,-435,-0.29,0,0.00,-630,-0.43,45450,4.55
265,Entry short,2020-05-05 10:30,Short,29530,1,29530,-435,-0.29,0,0.00,-630,-0.43,45450,4.55
266,Exit long,2020-05-07 15:30,EOD Exit,30700,1,30270,2140,1.41,2195,1.45,-955,-0.63,47590,4.76
266,Entry long,2020-05-07 10:30,Long,30270,1,30270,2140,1.41,2195,1.45,-955,-0.63,47590,4.76
