Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
456,Entry short,2022-06-13 09:30,Short,2257.5,1,2257.5,1604,0.71,1627,0.72,-213,-0.09,45844,91.69
457,Exit short,2022-07-14 11:45,Close entry(s) order Short,2131.5,1,2121.4,-1016,-0.48,557,0.26,-1113,-0.52,44828,89.66
457,Entry short,2022-07-14 09:30,Short,2121.4,1,2121.4,-1016,-0.48,557,0.26,-1113,-0.52,44828,89.66
458,Exit long,2022-07-18 10:05,Close entry(s) order Long,2134.2,1,2139.8,-566,-0.26,37,0.02,-583,-0.27,44262,88.52
458,Entry long,2022-07-18 09:30,Long,2139.8,1,2139.8,-566,-0.26,37,0.02,-583,-0.27,44262,88.52
459,Exit long,2022-07-28 16:50,EOD Exit,2175.8,1,2169.9,584,0.27,687,0.32,-323,-0.15,44846,89.69
459,Entry long,2022-07-28 09:30,Long,2169.9,1,2169.9,584,0.27,687,0.32,-323,-0.15,44846,89.69
460,Exit short,2022-08-05 16:50,EOD Exit,2194.5,1,2190.5,-406,-0.19,347,0.16,-733,-0.33,44440,88.88
460,Entry short,2022-08-05 09:30,Short,2190.5,1,2190.5,-406,-0.19,347,0.16,-733,-0.33,44440,88.88
461,Exit short,2022-08-15 13:00,Close entry(s) order Short,2201.2,1,2197.7,-356,-0.16,467,0.21,-383,-0.17,44084,88.17
461,Entry short,2022-08-15 09:30,Short,2197.7,1,2197.7,-356,-0.16,467,0.21,-383,-0.17,44084,88.17
462,Exit short,2022-09-01 16:50,EOD Exit,2110.9,1,2109,-196,-0.09,747,0.35,-443,-0.21,43888,87.78
462,Entry short,2022-09-01 09:30,Short,2109,1,2109,-196,-0.09,747,0.35,-443,-0.21,43888,87.78
463,Exit short,2022-09-13 16:50,EOD Exit,2115.1,1,2116.3,114,0.05,277,0.13,-623,-0.29,44002,88.00
463,Entry short,2022-09-13 09:30,Short,2116.3,1,2116.3,114,0.05,277,0.13,-623,-0.29,44002,88.00
464,Exit short,2022-09-15 09:45,Close entry(s) order Short,2099.5,1,2094.3,-526,-0.25,297,0.14,-523,-0.25,43476,86.95
464,Entry short,2022-09-15 09:30,Short,2094.3,1,2094.3,-526,-0.25,297,0.14,-523,-0.25,43476,86.95
465,Exit short,2022-09-23 16:50,EOD Exit,2055.3,1,2060.1,474,0.23,1107,0.54,-23,-0.01,43950,87.90
465,Entry short,2022-09-23 09:30,Short,2060.1,1,2060.1,474,0.23,1107,0.54,-23,-0.01,43950,87.90
466,Exit long,2022-10-04 16:50,EOD Exit,2137,1,2120.9,1604,0.76,2017,0.95,-353,-0.17,45554,91.11
466,Entry long,2022-10-04 09:30,Long,2120.9,1,2120.9,1604,0.76,2017,0.95,-353,-0.17,45554,91.11
467,Exit short,2022-10-10 16:50,EOD Exit,2077.9,1,2083.6,564,0.27,867,0.42,-473,-0.23,46118,92.24
467,Entry short,2022-10-10 09:30,Short,2083.6,1,2083.6,564,0.27,867,0.42,-473,-0.23,46118,92.24
468,Exit long,2022-10-17 12:50,Close entry(s) order Long,2067,1,2073.3,-636,-0.31,337,0.16,-653,-0.31,45482,90.96
468,Entry long,2022-10-17 09:30,Long,2073.3,1,2073.3,-636,-0.31,337,0.16,-653,-0.31,45482,90.96
469,Exit short,2022-10-28 16:50,EOD Exit,2051,1,2050.5,-56,-0.03,737,0.36,-453,-0.22,45426,90.85
469,Entry short,2022-10-28 09:30,Short,2050.5,1,2050.5,-56,-0.03,737,0.36,-453,-0.22,45426,90.85
470,Exit long,2022-11-01 10:00,Close entry(s) order Long,2050.6,1,2058.3,-776,-0.38,117,0.06,-843,-0.41,44650,89.30
470,Entry long,2022-11-01 09:30,Long,2058.3,1,2058.3,-776,-0.38,117,0.06,-843,-0.41,44650,89.30
471,Exit short,2022-11-03 10:25,Close entry(s) order Short,2030.5,1,2023.9,-666,-0.33,207,0.10,-743,-0.37,43984,87.97
471,Entry short,2022-11-03 09:30,Short,2023.9,1,2023.9,-666,-0.33,207,0.10,-743,-0.37,43984,87.97
472,Exit long,2022-11-04 16:50,EOD Exit,2086.5,1,2070.7,1574,0.76,1807,0.87,-383,-0.18,45558,91.12
472,Entry long,2022-11-04 09:30,Long,2070.7,1,2070.7,1574,0.76,1807,0.87,-383,-0.18,45558,91.12
473,Exit long,2022-11-10 16:50,EOD Exit,2160.5,1,2145.6,1484,0.69,1737,0.81,-313,-0.15,47042,94.08
473,Entry long,2022-11-10 09:30,Long,2145.6,1,2145.6,1484,0.69,1737,0.81,-313,-0.15,47042,94.08
474,Exit long,2022-11-11 09:35,Close entry(s) order Long,2164.3,1,2165.1,-86,-0.04,97,0.04,-153,-0.07,46956,93.91
474,Entry long,2022-11-11 09:30,Long,2165.1,1,2165.1,-86,-0.04,97,0.04,-153,-0.07,46956,93.91
475,Exit short,2022-11-17 16:50,EOD Exit,2165.6,1,2164.2,-146,-0.07,407,0.19,-393,-0.18,46810,93.62
475,Entry short,2022-11-17 09:30,Short,2164.2,1,2164.2,-146,-0.07,407,0.19,-393,-0.18,46810,93.62
476,Exit long,2022-12-01 16:50,EOD Exit,2204.7,1,2200,464,0.21,577,0.26,-463,-0.21,47274,94.55
476,Entry long,2022-12-01 09:30,Long,2200,1,2200,464,0.21,577,0.26,-463,-0.21,47274,94.55
477,Exit long,2022-12-13 16:50,EOD Exit,2209.8,1,2218.2,-846,-0.38,607,0.27,-1383,-0.62,46428,92.86
477,Entry long,2022-12-13 09:30,Long,2218.2,1,2218.2,-846,-0.38,607,0.27,-1383,-0.62,46428,92.86
478,Exit short,2022-12-15 09:35,Close entry(s) order Short,2182.5,1,2180.7,-186,-0.09,77,0.04,-293,-0.13,46242,92.48
478,Entry short,2022-12-15 09:30,Short,2180.7,1,2180.7,-186,-0.09,77,0.04,-293,-0.13,46242,92.48
479,Exit long,2022-12-20 16:50,EOD Exit,2215.1,1,2204.5,1054,0.48,1527,0.69,-83,-0.04,47296,94.59
479,Entry long,2022-12-20 09:30,Long,2204.5,1,2204.5,1054,0.48,1527,0.69,-83,-0.04,47296,94.59
480,Exit short,2022-12-22 16:50,EOD Exit,2188,1,2195.9,784,0.36,1577,0.72,-243,-0.11,48080,96.16
480,Entry short,2022-12-22 09:30,Short,2195.9,1,2195.9,784,0.36,1577,0.72,-243,-0.11,48080,96.16
481,Exit short,2022-12-28 09:45,Close entry(s) order Short,2203.8,1,2199.6,-426,-0.19,27,0.01,-503,-0.23,47654,95.31
481,Entry short,2022-12-28 09:30,Short,2199.6,1,2199.6,-426,-0.19,27,0.01,-503,-0.23,47654,95.31
482,Exit long,2023-01-03 10:10,Close entry(s) order Long,2232.5,1,2238.3,-586,-0.26,517,0.23,-693,-0.31,47068,94.14
482,Entry long,2023-01-03 09:30,Long,2238.3,1,2238.3,-586,-0.26,517,0.23,-693,-0.31,47068,94.14
483,Exit long,2023-01-04 10:00,Close entry(s) order Long,2247.5,1,2251,-356,-0.16,217,0.10,-533,-0.24,46712,93.42
483,Entry long,2023-01-04 09:30,Long,2251,1,2251,-356,-0.16,217,0.10,-533,-0.24,46712,93.42
484,Exit short,2023-01-05 16:50,EOD Exit,2225.4,1,2229.8,434,0.19,1247,0.56,-33,-0.01,47146,94.29
484,Entry short,2023-01-05 09:30,Short,2229.8,1,2229.8,434,0.19,1247,0.56,-33,-0.01,47146,94.29
485,Exit long,2023-01-06 16:50,EOD Exit,2258.7,1,2240.4,1824,0.81,2217,0.99,-783,-0.35,48970,97.94
485,Entry long,2023-01-06 09:30,Long,2240.4,1,2240.4,1824,0.81,2217,0.99,-783,-0.35,48970,97.94
486,Exit short,2023-02-03 16:50,EOD Exit,2250.3,1,2266.9,1654,0.73,2117,0.93,-383,-0.17,50624,101.25
486,Entry short,2023-02-03 09:30,Short,2266.9,1,2266.9,1654,0.73,2117,0.93,-383,-0.17,50624,101.25
487,Exit short,2023-03-07 16:50,EOD Exit,2189.1,1,2208.8,1964,0.89,2047,0.93,-13,-0.01,52588,105.18
487,Entry short,2023-03-07 09:30,Short,2208.8,1,2208.8,1964,0.89,2047,0.93,-13,-0.01,52588,105.18
488,Exit long,2023-03-10 16:50,EOD Exit,2243.1,1,2227.1,1594,0.72,1837,0.82,-13,-0.01,54182,108.36
488,Entry long,2023-03-10 09:30,Long,2227.1,1,2227.1,1594,0.72,1837,0.82,-13,-0.01,54182,108.36
489,Exit long,2023-03-13 16:50,EOD Exit,2290,1,2277.1,1284,0.56,1357,0.60,-513,-0.23,55466,110.93
489,Entry long,2023-03-13 09:30,Long,2277.1,1,2277.1,1284,0.56,1357,0.60,-513,-0.23,55466,110.93
490,Exit long,2023-03-17 16:50,EOD Exit,2362,1,2324,3794,1.63,4017,1.73,-83,-0.04,59260,118.52
490,Entry long,2023-03-17 09:30,Long,2324,1,2324,3794,1.63,4017,1.73,-83,-0.04,59260,118.52
491,Exit long,2023-03-23 16:50,EOD Exit,2367.1,1,2350.4,1664,0.71,2687,1.14,-103,-0.04,60924,121.85
491,Entry long,2023-03-23 09:30,Long,2350.4,1,2350.4,1664,0.71,2687,1.14,-103,-0.04,60924,121.85
492,Exit long,2023-03-24 09:55,Close entry(s) order Long,2363.6,1,2373.5,-996,-0.42,7,0.00,-1113,-0.47,59928,119.86
492,Entry long,2023-03-24 09:30,Long,2373.5,1,2373.5,-996,-0.42,7,0.00,-1113,-0.47,59928,119.86
493,Exit short,2023-03-27 16:50,EOD Exit,2328.5,1,2322.3,-626,-0.27,607,0.26,-953,-0.41,59302,118.60
493,Entry short,2023-03-27 09:30,Short,2322.3,1,2322.3,-626,-0.27,607,0.26,-953,-0.41,59302,118.60
494,Exit short,2023-04-10 16:50,EOD Exit,2360.2,1,2359.7,-56,-0.02,957,0.41,-333,-0.14,59246,118.49
494,Entry short,2023-04-10 09:30,Short,2359.7,1,2359.7,-56,-0.02,957,0.41,-333,-0.14,59246,118.49
495,Exit long,2023-04-13 16:50,EOD Exit,2408.6,1,2410.5,-196,-0.08,647,0.27,-893,-0.37,59050,118.10
495,Entry long,2023-04-13 09:30,Long,2410.5,1,2410.5,-196,-0.08,647,0.27,-893,-0.37,59050,118.10
496,Exit short,2023-05-05 16:50,EOD Exit,2377.6,1,2368.3,-936,-0.40,767,0.32,-1223,-0.52,58114,116.23
496,Entry short,2023-05-05 09:30,Short,2368.3,1,2368.3,-936,-0.40,767,0.32,-1223,-0.52,58114,116.23
497,Exit short,2023-05-17 16:50,EOD Exit,2339.4,1,2340.2,74,0.03,847,0.36,-273,-0.12,58188,116.38
497,Entry short,2023-05-17 09:30,Short,2340.2,1,2340.2,74,0.03,847,0.36,-273,-0.12,58188,116.38
498,Exit short,2023-05-18 16:50,EOD Exit,2313.8,1,2314.4,54,0.02,637,0.28,-393,-0.17,58242,116.48
498,Entry short,2023-05-18 09:30,Short,2314.4,1,2314.4,54,0.02,637,0.28,-393,-0.17,58242,116.48
499,Exit short,2023-05-25 16:50,EOD Exit,2294.5,1,2302.3,774,0.34,967,0.42,-353,-0.15,59016,118.03
499,Entry short,2023-05-25 09:30,Short,2302.3,1,2302.3,774,0.34,967,0.42,-353,-0.15,59016,118.03
500,Exit long,2023-06-23 11:05,Close entry(s) order Long,2268.7,1,2279.2,-1056,-0.46,457,0.20,-1063,-0.47,57960,115.92
500,Entry long,2023-06-23 09:30,Long,2279.2,1,2279.2,-1056,-0.46,457,0.20,-1063,-0.47,57960,115.92
501,Exit long,2023-07-07 16:50,EOD Exit,2266,1,2266.2,-26,-0.01,967,0.43,-403,-0.18,57934,115.87
501,Entry long,2023-07-07 09:30,Long,2266.2,1,2266.2,-26,-0.01,967,0.43,-403,-0.18,57934,115.87
502,Exit long,2023-07-12 16:50,EOD Exit,2297.9,1,2292.3,554,0.24,757,0.33,-43,-0.02,58488,116.98
502,Entry long,2023-07-12 09:30,Long,2292.3,1,2292.3,554,0.24,757,0.33,-43,-0.02,58488,116.98
503,Exit short,2023-07-27 16:50,EOD Exit,2279.2,1,2288.3,904,0.40,1177,0.51,-13,-0.01,59392,118.78
503,Entry short,2023-07-27 09:30,Short,2288.3,1,2288.3,904,0.40,1177,0.51,-13,-0.01,59392,118.78
504,Exit short,2023-08-01 16:50,EOD Exit,2276.8,1,2278.3,144,0.06,467,0.20,-913,-0.40,59536,119.07
504,Entry short,2023-08-01 09:30,Short,2278.3,1,2278.3,144,0.06,467,0.20,-913,-0.40,59536,119.07
505,Exit long,2023-08-23 16:50,EOD Exit,2240,1,2236.2,374,0.17,877,0.39,-373,-0.17,59910,119.82
