strategyId,strategyName,symbol,side,quantity,entryPrice,exitPrice,entryTime,exitTime,pnl,pnlPercent
1,ESTrend,ES,long,1.0,1645.0,1628.5,2010-11-04T11:30:00,2010-11-18T16:50:00,-41.5,-0.05
1,ESTrend,ES,long,1.0,1629.25,1626.5,2010-11-18T11:30:00,2010-11-24T16:50:00,21.0,0.03
1,ESTrend,ES,long,1.0,1626.0,1635.5,2010-11-24T11:30:00,2010-12-01T16:50:00,158.5,0.19
1,ESTrend,ES,long,1.0,1632.25,1653.75,2010-12-01T11:30:00,2010-12-02T16:50:00,171.0,0.21
1,ESTrend,ES,long,1.0,1650.25,1716.0,2010-12-02T11:30:00,2011-01-12T15:25:00,-154.0,-0.18
1,ESTrend,ES,long,1.0,1719.0,1738.25,2011-01-12T11:30:00,2011-02-01T16:50:00,146.0,0.17
1,ESTrend,ES,long,1.0,1735.25,1742.5,2011-02-01T11:30:00,2011-03-02T11:40:00,-154.0,-0.18
1,ESTrend,ES,long,1.0,1745.5,1765.75,2011-03-02T11:30:00,2011-03-03T16:50:00,158.5,0.18
1,ESTrend,ES,long,1.0,1762.5,1706.75,2011-03-03T11:30:00,2011-03-17T13:25:00,-279.0,-0.33
1,ESTrend,ES,long,1.0,1712.25,1732.5,2011-03-17T11:30:00,2011-03-21T15:20:00,-141.5,-0.16
1,ESTrend,ES,long,1.0,1735.25,1771.0,2011-03-21T11:30:00,2011-04-01T14:40:00,-216.5,-0.24
1,ESTrend,ES,long,1.0,1775.25,1766.25,2011-04-01T11:30:00,2011-04-20T12:45:00,-154.0,-0.17
1,ESTrend,ES,long,1.0,1769.25,1783.75,2011-04-20T11:30:00,2011-04-26T16:50:00,-91.5,-0.1
1,ESTrend,ES,long,1.0,1785.5,1786.25,2011-04-26T11:30:00,2011-05-06T12:05:00,-291.5,-0.33
1,ESTrend,ES,long,1.0,1792.0,1774.75,2011-05-06T11:30:00,2011-05-16T12:50:00,-304.0,-0.34
1,ESTrend,ES,long,1.0,1780.75,1757.25,2011-05-16T11:30:00,2011-05-25T16:35:00,-129.0,-0.15
1,ESTrend,ES,long,1.0,1759.75,1720.0,2011-05-25T11:30:00,2011-06-20T16:50:00,33.5,0.04
1,ESTrend,ES,long,1.0,1719.25,1735.25,2011-06-20T11:30:00,2011-06-21T16:50:00,-104.0,-0.12
1,ESTrend,ES,long,1.0,1737.25,1780.5,2011-06-21T11:30:00,2011-07-03T18:00:00,258.5,0.29
1,ESTrend,ES,long,1.0,1775.25,1768.0,2011-07-01T11:30:00,2011-07-13T13:50:00,-279.0,-0.31
1,ESTrend,ES,long,1.0,1773.5,1758.0,2011-07-13T11:30:00,2011-07-19T11:35:00,-129.0,-0.15
1,ESTrend,ES,long,1.0,1760.5,1789.5,2011-07-19T11:30:00,2011-07-21T16:50:00,308.5,0.35
1,ESTrend,ES,long,1.0,1783.25,1780.0,2011-07-21T11:30:00,2011-07-25T16:10:00,-204.0,-0.23
1,ESTrend,ES,long,1.0,1784.0,1565.75,2011-07-25T11:30:00,2011-08-09T14:20:00,-1216.5,-1.53
1,ESTrend,ES,long,1.0,1590.0,1621.5,2011-08-09T11:30:00,2011-08-12T14:20:00,-191.5,-0.24
1,ESTrend,ES,long,1.0,1625.25,1606.0,2011-08-12T11:30:00,2011-08-24T11:55:00,-154.0,-0.19
1,ESTrend,ES,long,1.0,1609.0,1654.5,2011-08-24T11:30:00,2011-08-29T16:50:00,633.5,0.77
