Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
781,Entry short,2022-08-04 10:30,FL_S,36963,2,73926,-462,-0.12,394,0.11,-456,-0.12,94798,189.60
782,Exit long,2022-08-08 10:05,X_L,37343,2,74768,-422,-0.11,24,0.01,-416,-0.11,94376,188.75
782,Entry long,2022-08-08 09:50,FL_L,37384,2,74768,-422,-0.11,24,0.01,-416,-0.11,94376,188.75
783,Exit long,2022-08-10 11:10,X_L,37594,2,75274,-442,-0.12,154,0.04,-436,-0.12,93934,187.87
783,Entry long,2022-08-10 11:00,FL_L,37637,2,75274,-442,-0.12,154,0.04,-436,-0.12,93934,187.87
784,Exit long,2022-08-11 11:05,X_L,37831,2,75744,-422,-0.11,744,0.20,-416,-0.11,93512,187.02
784,Entry long,2022-08-11 09:50,FL_L,37872,2,75744,-422,-0.11,744,0.20,-416,-0.11,93512,187.02
785,Exit long,2022-08-12 14:30,X_L,37940,2,75650,1138,0.30,1144,0.30,-276,-0.07,94650,189.30
785,Entry long,2022-08-12 11:35,FL_L,37825,2,75650,1138,0.30,1144,0.30,-276,-0.07,94650,189.30
786,Exit short,2022-08-17 11:10,X_S,38247,2,76414,-412,-0.11,94,0.02,-406,-0.11,94238,188.48
786,Entry short,2022-08-17 10:50,FL_S,38207,2,76414,-412,-0.11,94,0.02,-406,-0.11,94238,188.48
787,Exit short,2022-08-19 10:20,X_S,38091,2,76098,-432,-0.11,314,0.08,-426,-0.11,93806,187.61
787,Entry short,2022-08-19 09:50,FL_S,38049,2,76098,-432,-0.11,314,0.08,-426,-0.11,93806,187.61
788,Exit short,2022-08-29 11:00,X_S,36350,2,72580,-612,-0.17,254,0.07,-606,-0.17,93194,186.39
788,Entry short,2022-08-29 10:50,FL_S,36290,2,72580,-612,-0.17,254,0.07,-606,-0.17,93194,186.39
789,Exit short,2022-09-01 10:25,X_S,35664,2,71204,-632,-0.18,494,0.14,-626,-0.18,92562,185.12
789,Entry short,2022-09-01 10:00,FL_S,35602,2,71204,-632,-0.18,494,0.14,-626,-0.18,92562,185.12
790,Exit long,2022-09-02 11:55,X_L,36345,2,72314,1868,0.52,1874,0.52,-186,-0.05,94430,188.86
790,Entry long,2022-09-02 10:10,FL_L,36157,2,72314,1868,0.52,1874,0.52,-186,-0.05,94430,188.86
791,Exit long,2022-09-09 15:40,X_L,36553,2,72760,1718,0.47,1724,0.47,-506,-0.14,96148,192.30
791,Entry long,2022-09-09 10:00,FL_L,36380,2,72760,1718,0.47,1724,0.47,-506,-0.14,96148,192.30
792,Exit long,2022-09-12 11:50,X_L,36663,2,73424,-502,-0.14,1144,0.31,-496,-0.14,95646,191.29
792,Entry long,2022-09-12 09:50,FL_L,36712,2,73424,-502,-0.14,1144,0.31,-496,-0.14,95646,191.29
793,Exit short,2022-09-13 10:15,X_S,36006,2,71900,-572,-0.16,74,0.02,-656,-0.18,95074,190.15
793,Entry short,2022-09-13 10:00,FL_S,35950,2,71900,-572,-0.16,74,0.02,-656,-0.18,95074,190.15
794,Exit short,2022-09-15 12:40,X_S,35371,2,70614,-652,-0.18,484,0.14,-646,-0.18,94422,188.84
794,Entry short,2022-09-15 11:50,FL_S,35307,2,70614,-652,-0.18,484,0.14,-646,-0.18,94422,188.84
795,Exit short,2022-09-20 10:50,X_S,34994,2,69876,-572,-0.16,804,0.23,-566,-0.16,93850,187.70
795,Entry short,2022-09-20 09:50,FL_S,34938,2,69876,-572,-0.16,804,0.23,-566,-0.16,93850,187.70
796,Exit short,2022-09-23 12:10,X_S,33722,2,67860,2068,0.61,2074,0.61,-526,-0.16,95918,191.84
796,Entry short,2022-09-23 10:20,FL_S,33930,2,67860,2068,0.61,2074,0.61,-526,-0.16,95918,191.84
797,Exit short,2022-09-26 13:25,X_S,33457,2,67410,2468,0.73,2474,0.73,-556,-0.16,98386,196.77
797,Entry short,2022-09-26 11:20,FL_S,33705,2,67410,2468,0.73,2474,0.73,-556,-0.16,98386,196.77
798,Exit long,2022-09-28 12:15,X_L,33862,2,67156,2828,0.84,2834,0.84,-326,-0.10,101214,202.43
